Variable,Value
Mean years of schooling,13.177393185505679
SD years of schooling,2.5649374728835053
Mean years of work experience,14.497835497835498
SD years of work experience,9.736206389431269
Percent with industry-specific experience,61.04395604395605
Percent with self-employment experience,36.75889328063241
Percent with leadership experience,95.78150351541373
Percent with self-employed father,34.81803367734927
Percent follower business,24.607896160086533
Percent affiliated business,9.085992428339642
Mean capital invested (log),0.0
SD capital invested (log),0.0
Mean employees at founding (log),2.3143939393939394
SD employees at founding (log),6.362635290537749
Percent registered firm,31.47647376960519
Percent specialist business,68.30719307733911
Percent innovative business,33.26122228231477
Percent national market-scope business,43.320713899405085
Percent Munich,47.97187669010276
Percent manufacturing,13.304488912925905
Percent construction,3.515413737155219
Percent wholesale/retail trade,35.8031368307193
Percent transportation,5.678745267712277
Percent restaurants,0.3785830178474851
Percent computer services,4.921579232017307
Percent other services,36.34396971335857
Mean competition intensity,
SD competition intensity,
Mean seasonality,
SD seasonality,
Mean clustering of orders,
SD clustering of orders,
Number of cases,1849.0
