"befnr","StartYear","industry_category","LegalForm","Location","FollowerBusiness","IndAffBusiness","EmployeeNum","CompanyEndYear","YearsWorkExperience","YearsSchooling","CapitalInvested","GenSpeBusiness","TradInnoBusiness","MarketScope","CompetitionIntensity","Seasonality","OrderClusters","IndustryExperience","FounderFather","beg1","beg2","beg3","beg4","beg5","beg6","beg7","beg8","beg9","beg10","beg11","beg12","beg13","beg14","beg15","beg16","beg17","beg18","beg19","beg20","end1","end2","end3","end4","end5","end6","end7","end8","end9","end10","end11","end12","end13","end14","end15","end16","end17","end18","end19","end20","typ1","typ2","typ3","typ4","typ5","typ6","typ7","typ8","typ9","typ10","typ11","typ12","typ13","typ14","typ15","typ16","typ17","WorkExperienceYears","SelfEmploymentYears","SelfEmploymentExp","EndYear_Clean","Censored","SurvivalTime","SurvivalMonths"
"1047",1986,"Wholesale/Retail Trade","Registered firm","Munich","Newcomer","Independent",4,"87",17,18,1e+05,"Generalist","Traditional","National",3,4,2,0,1,"60","68","72","75","81","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","68","72","75","81","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","ab","ab","ab","se","m","m","m","m","m","m","m","m","m","m","m","m",21,5,"1.0",1987,0,1,12
"1121",1986,"Other Services","Small tradesman","Munich","Newcomer","Affiliated",1,"87",27,11,50000,"Specialist","Traditional","Local",3,3,5,1,1,"84","85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","85","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","wz","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",1,0,"0.0",1987,0,1,12
"1126",1986,"Other Services","Small tradesman","Munich","Newcomer","Independent",1,"87",33,12,250000,"Generalist","Traditional","Local",4,NA,3,1,1,"56","59","61","66","68","84","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","59","61","66","68","84","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ab","ab","se","ab","m","m","m","m","m","m","m","m","m","m","m",14,16,"1.0",1987,0,1,12
"1132",1986,"Transportation","Small tradesman","Munich","Newcomer","Independent",1,"87",13,12,150000,"Specialist","Traditional","Local",5,3,NA,0,1,"47","50","82","83","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","50","82","83","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ab","al","m","m","m","m","m","m","m","m","m","m","m","m","m",36,0,"0.0",1987,0,1,12
"1209",1985,"Wholesale/Retail Trade","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"86",3,18,50000,"Generalist","Traditional","Local",4,NA,NA,1,1,"76","79","83","84","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","79","83","84","85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","le","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",9,0,"0.0",1986,0,1,12
"1223",1986,"Wholesale/Retail Trade","Small tradesman","Munich","Newcomer","Independent",1,"87",1,12,5e+05,"Specialist","Traditional","Local",5,5,NA,1,1,"85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",1,0,"0.0",1987,0,1,12
"1252",1985,"Wholesale/Retail Trade","Registered firm","Upper Bavaria","Newcomer","Independent",2,"86",23,18,50000,"Specialist","Traditional","National",2,NA,5,0,1,"71","74","75","76","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","74","75","76","85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","wz","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",13,0,"0.0",1986,0,1,12
"1276",1986,"Other Services","Registered firm","Upper Bavaria","Newcomer","Independent",2,"87",8,18,10000,"Specialist","Traditional","National",4,2,NA,1,1,"74","78","85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","78","85","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","se","m","m","m","m","m","m","m","m","m","m","m","m","m","m",11,1,"1.0",1987,0,1,12
"1434",1985,"Wholesale/Retail Trade","Registered firm","Upper Bavaria","Follower","Independent",2,"86",3,17,50000,"Generalist","Traditional","National",4,NA,2,1,1,"69","71","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","71","85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",16,0,"0.0",1986,0,1,12
"1444",1985,"Manufacturing","Registered firm","Munich","Follower","Independent",5,"86",9,11,25000,"Specialist","Traditional","Local",4,NA,NA,1,1,"71","74","78","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","74","78","85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","se","m","m","m","m","m","m","m","m","m","m","m","m","m","m",7,7,"1.0",1986,0,1,12
