befnr,StartYear,industry_category,LegalForm,Location,FollowerBusiness,IndAffBusiness,EmployeeNum,CompanyEndYear,YearsWorkExperience,YearsSchooling,CapitalInvested,GenSpeBusiness,TradInnoBusiness,MarketScope,CompetitionIntensity,Seasonality,OrderClusters,IndustryExperience,FounderFather,beg1,beg2,beg3,beg4,beg5,beg6,beg7,beg8,beg9,beg10,beg11,beg12,beg13,beg14,beg15,beg16,beg17,beg18,beg19,beg20,end1,end2,end3,end4,end5,end6,end7,end8,end9,end10,end11,end12,end13,end14,end15,end16,end17,end18,end19,end20,typ1,typ2,typ3,typ4,typ5,typ6,typ7,typ8,typ9,typ10,typ11,typ12,typ13,typ14,typ15,typ16,typ17,WorkExperienceYears,SelfEmploymentYears,SelfEmploymentExp,EndYear_Clean,Censored,SurvivalTime
1005,1985,Wholesale/Retail Trade,Small tradesman,Munich,Newcomer,Independent,3,Business still registered,30,11,100000,Specialist,Traditional,Local,high,low,,1.0,,55,59,61,64,70,75,80,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,59,61,64,70,75,80,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,se,se,se,se,se,se,m,m,m,m,m,m,m,m,m,m,4.0,26.0,1.0,1990,1,5.0
1012,1985,Other Services,Small tradesman,Munich,Newcomer,Independent,0,Business still registered,1,11,120000,Specialist,Traditional,Local,high,low,high,1.0,,79,82,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,82,83,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ne,m,m,m,m,m,m,m,m,m,m,m,m,m,m,4.0,0.0,0.0,1990,1,5.0
1023,1985,Construction,Small tradesman,Munich,Newcomer,Affiliated,0,Business still registered,1,11,50000,Specialist,Traditional,National,high,high,high,0.0,,79,82,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,82,83,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,wz,m,m,m,m,m,m,m,m,m,m,m,m,m,m,4.0,0.0,0.0,1990,1,5.0
1025,1986,Construction,Small tradesman,Munich,Newcomer,Independent,1,Business still registered,23,12,50000,Specialist,Innovative,National,low,low,low,1.0,,60,63,65,68,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,63,65,68,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,se,m,m,m,m,m,m,m,m,m,m,m,m,m,5.0,21.0,1.0,1990,1,4.0
1028,1985,Wholesale/Retail Trade,Small tradesman,Munich,Follower,Independent,1,Business still registered,39,11,300000,Generalist,,,high,,,1.0,,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,,,,1990,1,5.0
1033,1986,Other Services,Small tradesman,Munich,Newcomer,Independent,3,Business still registered,31,12,70000,Specialist,Traditional,Local,high,high,,1.0,,47,50,60,67,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,50,60,67,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,se,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,10.0,29.0,1.0,1990,1,4.0
1037,1985,Other Services,Small tradesman,Munich,Newcomer,Independent,1,Business still registered,12,12,500000,Specialist,Traditional,National,high,,,1.0,,51,54,57,60,64,70,74,78,81,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,54,57,60,64,70,74,78,81,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,ab,ab,ab,ab,ab,ab,m,m,m,m,m,m,m,m,34.0,0.0,0.0,1990,1,5.0
1042,1986,Wholesale/Retail Trade,Small tradesman,Munich,Newcomer,Independent,1,Business still registered,26,17,565000,Specialist,Traditional,National,low,high,,0.0,,67,69,70,73,75,78,79,84,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,69,70,73,75,78,79,84,85,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,wz,ab,ne,ab,al,ne,m,m,m,m,m,m,m,m,14.0,0.0,0.0,1990,1,4.0
1047,1986,Wholesale/Retail Trade,Registered firm,Munich,Newcomer,Independent,4,87,17,18,100000,Generalist,Traditional,National,high,high,low,0.0,1.0,60,68,72,75,81,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,68,72,75,81,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,ab,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,21.0,5.0,1.0,87,0,
1061,1985,Manufacturing,Registered firm,Munich,Newcomer,Independent,2,90,8,12,50000,Specialist,Traditional,National,high,low,low,1.0,1.0,68,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,83,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,15.0,2.0,1.0,90,0,
