"SubjectNumber","TransitionTreatment","PlayTimeBefore","PlayTimeAfter"
1,"Control",240,285
2,"Treatment",247,321
3,"Control",255,274
4,"Treatment",254,318
5,"Treatment",244,296
6,"Treatment",260,294
7,"Treatment",253,301
8,"Control",249,267
9,"Control",258,302
10,"Control",246,268
11,"Control",247,289
12,"Control",247,283
13,"Treatment",256,321
14,"Control",257,282
15,"Treatment",250,302
16,"Control",274,325
17,"Control",256,287
18,"Control",230,237
19,"Control",262,306
20,"Treatment",246,322
21,"Treatment",249,290
22,"Control",256,289
23,"Control",253,290
24,"Control",259,308
25,"Control",241,263
26,"Treatment",259,308
27,"Treatment",236,263
28,"Control",251,274
29,"Control",242,274
30,"Treatment",252,315
31,"Treatment",253,292
32,"Treatment",265,311
33,"Control",278,311
34,"Control",263,288
35,"Control",251,269
36,"Treatment",256,301
37,"Control",252,306
38,"Control",240,276
39,"Treatment",245,332
40,"Control",244,276
41,"Control",253,287
42,"Treatment",253,328
43,"Control",240,279
44,"Control",247,303
45,"Control",235,275
46,"Treatment",254,315
