"SubjectNumber","ReleaseSchedule","Genre","Views"
1,"DualDrop","Fantasy",85.33
2,"DualDrop","Fantasy",70.253
3,"DualDrop","Comedy",81.002
4,"Drop","Mystery",73.26
5,"DualDrop","Drama",56.804
6,"DualDrop","Fantasy",38.376
7,"Drop","Mystery",80.877
8,"DualDrop","Comedy",67.312
9,"Weekly","Fantasy",42.606
10,"Weekly","Mystery",74.05
11,"Weekly","Comedy",61.584
12,"Weekly","Fantasy",48.957
13,"DualDrop","Comedy",36.028
14,"Weekly","Comedy",71.36
15,"Drop","Comedy",64.968
16,"Drop","Drama",53.588
17,"Weekly","Drama",67.689
18,"Drop","Drama",80.918
19,"Weekly","Fantasy",54.849
20,"Weekly","Mystery",58.67
21,"Weekly","Mystery",82.904
22,"Drop","Drama",80.276
23,"DualDrop","Mystery",40.081
24,"Drop","Mystery",59.869
25,"Weekly","Comedy",88.254
26,"Weekly","Drama",65.746
27,"Weekly","Fantasy",47.778
28,"Weekly","Fantasy",72.578
29,"Drop","Comedy",42.645
30,"Drop","Comedy",58.48
31,"DualDrop","Fantasy",62.143
32,"Drop","Drama",90.949
33,"DualDrop","Drama",93.665
34,"Drop","Fantasy",35.033
35,"Drop","Drama",68.779
36,"Weekly","Mystery",39.382
37,"DualDrop","Mystery",53.047
38,"Drop","Mystery",76.627
39,"Drop","Mystery",87.244
40,"Drop","Comedy",59.347
41,"Drop","Drama",85.421
42,"DualDrop","Mystery",59.046
43,"Drop","Mystery",68.383
44,"Drop","Comedy",93.494
45,"Weekly","Drama",56.506
46,"Weekly","Drama",69.96
47,"Drop","Fantasy",49.967
48,"DualDrop","Mystery",72.492
49,"Weekly","Fantasy",67.953
50,"Drop","Drama",92.915
51,"Drop","Comedy",52.756
52,"DualDrop","Drama",69.555
53,"Weekly","Mystery",70.934
54,"DualDrop","Fantasy",68.313
55,"Drop","Mystery",91.438
56,"DualDrop","Drama",81.14
57,"DualDrop","Fantasy",80.356
58,"DualDrop","Drama",71.399
59,"DualDrop","Comedy",66.841
60,"Drop","Drama",71.83
61,"DualDrop","Mystery",71.91
62,"Weekly","Fantasy",52.779
63,"Weekly","Mystery",62.273
64,"Drop","Drama",84.428
65,"Drop","Fantasy",67.881
66,"Drop","Drama",75.297
67,"Drop","Fantasy",87.814
68,"Weekly","Fantasy",57.518
69,"Drop","Mystery",96.611
70,"Weekly","Fantasy",66.396
71,"DualDrop","Fantasy",56.822
72,"Drop","Comedy",82.512
73,"DualDrop","Comedy",64.977
74,"Drop","Drama",42.963
75,"DualDrop","Comedy",46.668
76,"Weekly","Mystery",78.475
77,"DualDrop","Comedy",47.57
78,"Weekly","Drama",63.115
79,"Weekly","Drama",45.005
80,"Drop","Fantasy",69.241
81,"Weekly","Drama",77.965
82,"Weekly","Mystery",93.101
83,"DualDrop","Comedy",57.839
84,"Drop","Comedy",47.667
85,"Drop","Comedy",118.368
86,"Drop","Comedy",70.242
87,"DualDrop","Drama",61.395
88,"Weekly","Drama",74.502
89,"Weekly","Comedy",64.641
90,"DualDrop","Mystery",51.144
91,"Drop","Comedy",70.937
92,"Weekly","Fantasy",69.822
93,"Drop","Fantasy",81.408
94,"DualDrop","Drama",75.087
95,"Drop","Fantasy",61.501
96,"Weekly","Fantasy",71.148
97,"Weekly","Comedy",60.798
98,"Drop","Comedy",68.897
